Date,JD(TCB),averagemag
2018-12-05 19:55:13,2458458.33001,untrusted
2018-12-06 00:08:53,2458458.50617,13.16
2018-12-06 01:55:27,2458458.58017,13.16
2018-12-06 06:09:08,2458458.75634,13.18
2018-12-06 07:56:06,2458458.83063,null
2018-12-06 12:09:22,2458459.00650,untrusted
2018-12-06 13:56:01,2458459.08057,null
2018-12-06 18:09:37,2458459.25668,13.16
2018-12-06 19:56:12,2458459.33069,13.15
2018-12-07 00:09:52,2458459.50685,13.17
2019-02-05 12:01:12,2458520.00083,13.18
2019-02-05 13:47:46,2458520.07484,13.16
2019-03-02 17:56:56,2458545.24787,13.16
2019-04-01 11:35:26,2458574.98294,13.15
2019-05-11 18:17:48,2458615.26236,13.15
2019-05-11 22:31:27,2458615.43851,13.15
2019-05-22 18:23:58,2458626.26664,13.15
2019-05-22 22:37:38,2458626.44280,13.18
2019-05-23 00:24:12,2458626.51681,untrusted
2019-07-12 04:41:16,2458676.69532,13.15
2019-07-12 08:54:57,2458676.87149,13.16
2019-07-12 10:41:31,2458676.94550,untrusted
2019-07-12 14:55:11,2458677.12166,13.15
2019-08-09 23:29:41,2458705.47895,13.16
2019-08-10 01:16:15,2458705.55295,13.15
2019-08-10 05:29:56,2458705.72912,13.16
2019-09-05 18:24:20,2458732.26690,13.17
2019-10-05 15:28:08,2458762.14454,13.14
2019-11-14 10:02:33,2458801.91844,13.14
2019-11-14 11:49:07,2458801.99244,13.14
2019-11-24 16:16:10,2458812.17789,13.15
2019-11-24 18:02:45,2458812.25191,13.15
2020-01-11 01:31:41,2458859.56367,13.16
2020-01-11 03:18:15,2458859.63767,13.15
2020-01-11 07:31:55,2458859.81383,13.14
2020-01-11 09:18:29,2458859.88784,13.15
2020-01-16 03:23:15,2458864.64115,13.16
2020-01-16 07:36:55,2458864.81730,13.16
2020-01-16 09:23:29,2458864.89131,13.15
2020-01-16 13:37:08,2458865.06745,13.15
2020-02-27 16:07:03,2458907.17156,13.16
2020-02-27 17:53:37,2458907.24557,13.14
2020-03-24 06:50:37,2458932.78515,13.14
2020-04-22 12:09:31,2458962.00661,13.15
2020-04-22 13:56:04,2458962.08060,13.15
2020-08-21 00:44:04,2459082.53060,13.12
2020-08-21 02:30:38,2459082.60461,13.11
2020-09-12 18:42:20,2459105.27940,13.11
2020-09-12 20:28:55,2459105.35341,13.09
2020-10-15 00:21:17,2459137.51478,13.06
2020-12-02 18:04:03,2459186.25281,12.90
2020-12-03 00:04:18,2459186.50299,12.89
2020-12-03 06:04:33,2459186.75316,12.88
2020-12-03 07:51:21,2459186.82733,null
2020-12-03 12:04:48,2459187.00333,12.90
2020-12-03 13:51:51,2459187.07767,null
2020-12-03 18:05:03,2459187.25351,12.88
2020-12-03 19:51:37,2459187.32751,12.88
2020-12-04 00:05:18,2459187.50368,12.88
2020-12-04 01:52:17,2459187.57797,null
2020-12-04 06:05:33,2459187.75385,12.89
2020-12-04 07:52:07,2459187.82786,12.88
2020-12-04 12:05:47,2459188.00402,12.88
2020-12-04 13:52:22,2459188.07803,12.88
2020-12-04 18:06:02,2459188.25419,12.89
2020-12-04 19:52:37,2459188.32821,12.88
