2458029.8413	13.903	0.02
2458029.84252	13.851	0.021
2458029.84374	13.865	0.02
2458030.89525	13.821	0.1
2458032.8595	13.956	0.029
2458032.86072	13.884	0.026
2458032.86193	13.938	0.028
2458041.84322	13.883	0.015
2458041.84444	13.902	0.015
2458041.84566	13.891	0.016
2458043.86951	13.861	0.015
2458043.87073	13.903	0.015
2458043.87196	13.885	0.015
2458044.86646	13.885	0.015
2458044.86769	13.897	0.015
2458044.86891	13.864	0.015
2458053.87024	13.877	0.017
2458053.8785	13.898	0.03
2458054.86726	13.915	0.021
2458054.86848	13.937	0.02
2458054.86971	13.896	0.023
2458055.87153	13.919	0.021
2458055.87718	13.920	0.03
2458056.86859	13.930	0.019
2458056.86982	13.899	0.018
2458056.87105	13.904	0.02
2458057.86189	13.897	0.016
2458057.8631	13.892	0.016
2458057.86431	13.881	0.017
2458058.86962	13.907	0.02
2458058.87088	13.869	0.019
2458058.87212	13.880	0.022
2458058.8944	13.849	0.023
2458058.89562	13.894	0.022
2458058.89683	13.879	0.021
2458068.80053	13.875	0.016
2458068.80176	13.907	0.016
2458068.80297	13.889	0.016
2458070.84246	13.860	0.015
2458070.84369	13.892	0.015
2458070.84491	13.888	0.015
2458074.58183	13.908	0.016
2458074.58304	13.876	0.016
2458074.58425	13.889	0.017
2458074.83969	13.911	0.016
2458074.84089	13.913	0.015
2458074.84212	13.916	0.016
2458076.581	13.897	0.015
2458076.58222	13.880	0.014
2458076.83385	13.891	0.015
2458076.83506	13.917	0.015
2458076.83626	13.902	0.015
2458077.83089	13.892	0.016
2458077.83211	13.875	0.016
2458077.83333	13.884	0.016
2458078.83586	13.892	0.015
2458078.83707	13.886	0.015
2458078.83829	13.880	0.015
2458079.82493	13.876	0.015
2458079.82614	13.875	0.015
2458079.82736	13.893	0.015
2458080.60651	13.858	0.029
2458080.60773	13.895	0.038
2458080.60893	13.880	0.043
2458080.83303	13.888	0.015
2458080.83426	13.880	0.014
2458080.83547	13.902	0.015
2458081.82152	13.885	0.015
2458082.81865	13.889	0.015
2458082.81985	13.902	0.015
2458082.82107	13.925	0.015
2458083.59241	13.883	0.016
2458083.59482	13.878	0.017
2458083.81559	13.903	0.015
2458083.81681	13.879	0.015
2458083.81802	13.878	0.015
2458084.82486	13.865	0.014
2458084.82607	13.898	0.015
2458084.8273	13.864	0.015
2458085.58662	13.842	0.015
2458085.8271	13.863	0.018
2458085.82831	13.889	0.018
2458085.82916	13.883	0.015
2458085.83038	13.895	0.015
2458085.8316	13.885	0.015
2458086.56442	13.885	0.015
2458086.56563	13.878	0.015
2458086.56685	13.901	0.015
2458086.75444	13.764	0.048
2458086.75566	13.870	0.06
2458086.75687	13.854	0.057
2458087.74874	13.895	0.029
2458087.74995	13.868	0.025
2458087.75117	13.924	0.029
2458089.36587	13.947	0.08
2458089.36709	13.885	0.054
2458089.3683	13.824	0.034
2458090.41286	13.872	0.033
2458090.41409	13.856	0.031
2458090.4153	13.873	0.033
2458090.598	13.957	0.046
2458090.59922	13.950	0.043
2458090.60044	13.872	0.036
2458091.61727	13.961	0.042
2458091.6185	13.872	0.038
2458091.61971	13.843	0.039
2458091.77768	13.913	0.054
2458091.7789	13.886	0.055
2458091.78011	13.857	0.046
2458092.4402	13.652	0.06
2458092.59176	13.903	0.032
2458092.59298	13.828	0.028
2458092.59419	13.877	0.027
2458096.50707	13.877	0.02
2458096.50828	13.835	0.018
2458096.5095	13.873	0.018
2458099.78249	13.883	0.016
2458099.78371	13.889	0.016
2458099.78493	13.873	0.016
2458100.54724	13.889	0.016
2458100.54845	13.899	0.016
2458100.54967	13.851	0.016
2458100.77499	13.933	0.031
2458100.7762	13.883	0.028
2458100.77747	13.856	0.026
2458101.77176	13.865	0.016
2458101.77298	13.882	0.016
2458101.77419	13.871	0.015
2458102.52133	13.880	0.015
2458102.52254	13.861	0.015
2458102.52376	13.904	0.015
2458103.51485	13.858	0.014
2458103.51607	13.907	0.015
2458103.51728	13.881	0.015
2458103.75514	13.894	0.017
