###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57358.447998  12.955  0.003 23869   61 o  0  47.59  90.26700 -18.96770  3010.03  8583.74 3.84 3.52 -84.9 -0.443 18.99 20.48 02a57358o0447o
57358.469816  12.958  0.003 23816   62 o  0  54.92  90.26700 -18.96770  2717.18  8006.18 3.86 3.52 -81.7 -0.440 18.97 20.45 02a57358o0480o
57358.482721  12.946  0.003 24070   63 o  0  24.64  90.26700 -18.96770  3563.18  9173.78 4.08 3.81 -86.3 -0.421 18.90 20.44 02a57358o0500o
57358.512726  12.960  0.003 23764   60 o  0  65.25  90.26700 -18.96770  6895.13  3273.59 3.73 3.66  13.2 -0.430 18.93 20.36 02a57358o0546o
57359.457157  12.961  0.002 23748   58 o  0  87.60  90.26700 -18.96770  3006.58  8587.84 3.73 3.44 -79.7 -0.448 19.22 20.85 02a57359o0327o
57359.478034  12.946  0.003 24069   60 o  0  64.15  90.26700 -18.96770  2711.60  8009.67 3.85 3.48 -77.7 -0.447 19.16 20.77 02a57359o0359o
57359.492076  12.939  0.002 24227   60 o  0  76.50  90.26700 -18.96770  3560.94  9177.59 3.60 3.42  84.8 -0.435 19.18 20.75 02a57359o0380o
57359.522089  12.948  0.002 24023   59 o  0  55.67  90.26700 -18.96770  6894.98  3275.89 3.60 3.51  13.9 -0.438 19.12 20.63 02a57359o0425o
57368.442022  12.948  0.002 24022   58 o  0  60.90  90.26700 -18.96770  3014.04  8595.05 4.00 3.55 -76.5 -0.450 19.22 20.95 02a57368o0411o
57368.461461  12.955  0.003 23876   60 o  0  64.87  90.26700 -18.96770  2726.41  8009.05 3.90 3.44 -75.2 -0.452 19.22 20.87 02a57368o0441o
57368.481121  12.937  0.003 24280   62 o  0  46.95  90.26700 -18.96770  7375.71  1284.86 4.28 3.58   5.1 -0.487 19.15 20.81 02a57368o0470o
