###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58590.233986  12.959  0.003 23781   64 o  0  42.25  90.26700 -18.96770  2382.34  5298.82 2.34 1.95  50.2 -0.430 18.29 18.46 02a58590o0033o
58590.241011  12.951  0.003 23975   61 o  0  57.01  90.26700 -18.96770  2455.47  5376.66 2.27 1.99  52.5 -0.422 18.45 18.77 02a58590o0048o
58590.250361  12.955  0.003 23872   62 o  0  31.13  90.26700 -18.96770  2477.80  5258.58 2.54 2.20  47.5 -0.414 18.28 18.70 02a58590o0068o
58591.229384  12.954  0.003 23894   73 o  0  11.43  90.26700 -18.96770  4276.66  5213.16 2.78 2.72   2.3 -0.481 17.78 18.46 01a58591o0018o
58591.231760  12.963  0.003 23699   68 o  0   4.30  90.26700 -18.96770  4297.27  5249.84 3.31 3.09 -12.2 -0.416 17.90 18.68 01a58591o0023o
58591.236050  12.965  0.003 23666   63 o  0  10.80  90.26700 -18.96770  4240.67  5172.92 3.19 2.94  -9.5 -0.429 18.12 18.87 01a58591o0032o
58591.242266  12.954  0.003 23892   72 o  0   5.85  90.26700 -18.96770  4223.86  5288.50 3.18 2.96 -13.5 -0.430 18.09 18.91 01a58591o0045o
58595.228352  12.950  0.004 23994   98 o  0   4.18  90.26700 -18.96770  6175.77  3254.84 3.15 2.81  -4.3 -0.454 17.19 17.75 01a58595o0019o
58595.231149  12.950  0.003 23983   75 o  0  19.46  90.26700 -18.96770  6193.76  3291.16 3.66 3.14 -12.6 -0.412 17.82 18.54 01a58595o0025o
58595.236390  12.954  0.002 23889   57 o  0  76.58  90.26700 -18.96770  6137.10  3212.59 3.61 3.12 -11.5 -0.418 18.59 19.67 01a58595o0036o
58595.243940  12.937  0.002 24272   52 o  0 162.11  90.26700 -18.96770  6119.26  3329.14 3.51 3.07 -13.4 -0.416 18.93 20.29 01a58595o0052o
58597.231028  12.967  0.004 23614   92 o  0  33.40  90.26700 -18.96770  2425.08  3403.75 2.43 2.09  47.7 -0.430 17.45 17.47 02a58597o0019o
58597.233878  12.962  0.003 23717   74 o  0  25.25  90.26700 -18.96770  2389.80  3361.95 2.43 2.13  48.1 -0.417 18.02 18.28 02a58597o0025o
58597.237621  12.954  0.002 23898   59 o  0 103.70  90.26700 -18.96770  2464.39  3439.68 2.37 2.11  47.9 -0.432 18.57 19.14 02a58597o0033o
58711.626450  12.953  0.004 23928  106 o  0   2.33  90.26700 -18.96770  8021.85  7189.57 3.92 3.78  -9.3 -0.399 17.77 18.81 01a58711o0865o
58711.629383  12.956  0.005 23853  130 o  0   3.04  90.26700 -18.96770  8003.38  7150.97 3.97 3.86  -6.3 -0.412 17.53 18.54 01a58711o0871o
58711.632232  12.967  0.008 23610  199 o  0   1.58  90.26700 -18.96770  8063.57  7227.66 3.53 3.32  -6.6 -0.452 17.29 18.06 01a58711o0877o
58711.635081  12.813  0.015 27207  416 o  0   1.32  90.26700 -18.96770  8082.40  7111.01 3.51 3.24  -1.7 -0.674 16.74 17.44 01a58711o0883o
58735.578685  12.989  0.002 23148   49 o  0  63.01  90.26700 -18.96770  3388.87  3425.92 2.93 2.82  69.5 -0.390 19.22 20.77 01a58735o0744o
58735.583787  12.966  0.002 23637   49 o  0  93.27  90.26700 -18.96770  3368.68  3386.05 2.59 2.29  83.1 -0.390 19.38 20.76 01a58735o0755o
58735.587031  12.977  0.002 23404   50 o  0  51.01  90.26700 -18.96770  3425.67  3463.46 2.80 2.55  77.3 -0.383 19.25 20.68 01a58735o0762o
58735.599859  12.933  0.023 24358  560 o  0   1.56  90.26700 -18.96770  3446.75  3350.20 2.68 2.52  13.7 -0.382 15.14 16.65 01a58735o0789o
58737.574010  12.939  0.002 24241   55 o  0 167.45  90.26700 -18.96770  2433.46  1411.31 2.09 1.80  44.1 -0.471 18.96 19.62 02a58737o0775o
58737.577827  12.936  0.002 24300   54 o  0 156.82  90.26700 -18.96770  2453.30  1449.72 2.13 1.83  42.1 -0.462 19.02 19.73 02a58737o0783o
58737.583729  12.940  0.002 24220   52 o  0 229.35  90.26700 -18.96770  2393.93  1371.26 2.21 1.90  37.4 -0.448 19.11 19.95 02a58737o0795o
58737.594021  12.933  0.002 24365   51 o  0 359.19  90.26700 -18.96770  2374.19  1487.72 2.28 1.97  43.8 -0.447 19.31 20.31 02a58737o0816o
58745.541734  12.962  0.003 23727   77 o  0  13.53  90.26700 -18.96770  9036.71  5124.16 2.40 2.08  33.7 -0.406 18.03 18.33 02a58745o0712o
58745.544627  12.973  0.003 23491   73 o  0  33.62  90.26700 -18.96770  9057.82  5165.19 2.48 2.01  32.2 -0.400 18.04 18.38 02a58745o0718o
58745.550231  12.972  0.003 23510   70 o  0  44.39  90.26700 -18.96770  9000.51  5086.66 2.66 2.10  32.3 -0.390 18.11 18.43 02a58745o0730o
58745.566147  12.957  0.003 23838   66 o  0  62.04  90.26700 -18.96770  8982.70  5203.95 2.68 2.13  34.6 -0.393 18.30 18.74 02a58745o0763o
58751.631619  12.969  0.002 23563   46 o  0 367.95  90.26700 -18.96770  4129.09  7406.52 2.28 2.26  49.4 -0.390 19.42 20.60 01a58751o0905o
58751.634459  12.969  0.002 23569   48 o  0 228.51  90.26700 -18.96770  4109.62  7367.67 2.28 2.24  67.8 -0.397 19.31 20.32 01a58751o0911o
58751.638095  12.961  0.002 23750   50 o  0 131.08  90.26700 -18.96770  4160.80  7441.10 2.30 1.97 -88.0 -0.414 19.01 19.53 01a58751o0917o
58751.641277  12.971  0.003 23526   64 o  0  10.78  90.26700 -18.96770  4181.10  7324.81 2.36 2.09 -87.0 -0.409 18.31 18.34 01a58751o0922o
58755.636713  12.957  0.003 23825   62 o  0  93.10  90.26700 -18.96770  1335.36  1560.55 2.25 2.02  51.8 -0.441 18.49 18.86 01a58755o0654o
58755.639907  12.984  0.003 23245   69 o  0  32.53  90.26700 -18.96770  1315.95  1521.38 2.02 1.93  37.1 -0.417 18.12 18.14 01a58755o0660o
58755.643129  12.953  0.004 23916   94 o  0   5.73  90.26700 -18.96770  1375.19  1601.15 2.05 1.90  51.4 -0.447 17.67 17.37 01a58755o0667o
58761.613377  13.426  0.003 15467   39 c  0 469.91  90.26700 -18.96770  1141.57  8897.36 2.69 2.14 -51.1 -0.448 19.66 21.53 02a58761o0513c
58761.616578  13.437  0.003 15315   38 c  0 498.48  90.26700 -18.96770  1157.56  8937.80 2.69 2.09 -53.3 -0.449 19.68 21.51 02a58761o0520c
58761.627884  13.418  0.002 15586   38 c  0 414.55  90.26700 -18.96770  1100.91  8859.30 2.71 2.17 -52.3 -0.441 19.67 21.49 02a58761o0544c
58761.636919  13.473  0.003 14815   38 c  0 516.09  90.26700 -18.96770  1080.55  8974.25 2.76 2.16 -49.9 -0.449 19.54 21.14 02a58761o0563c
58763.564522  12.969  0.006 23582  136 o  0  11.86  90.26700 -18.96770  7369.71  5178.06 2.24 2.13  -6.1 -0.406 17.58 18.75 01a58763o0779o
58763.567760  12.951  0.005 23956  113 o  0  14.59  90.26700 -18.96770  7350.22  5139.27 2.26 2.20  -2.4 -0.401 17.85 19.04 01a58763o0786o
58763.573760  12.963  0.004 23712  104 o  0  24.99  90.26700 -18.96770  7410.12  5214.66 2.30 2.25  38.3 -0.401 17.97 19.18 01a58763o0799o
58763.587280  12.952  0.003 23943   73 o  0  81.91  90.26700 -18.96770  7430.73  5099.24 2.37 2.22  86.7 -0.399 18.74 19.96 01a58763o0828o
58765.605067  13.449  0.002 15145   37 c  0 215.82  90.26700 -18.96770  4521.56  3255.39 2.37 2.21  36.2 -0.401 19.71 21.49 02a58765o0853c
58765.609122  13.437  0.002 15313   38 c  0 354.48  90.26700 -18.96770  4544.40  3292.41 2.41 2.21  32.5 -0.405 19.66 21.50 02a58765o0861c
58765.617825  13.438  0.002 15306   38 c  0 297.99  90.26700 -18.96770  4479.31  3217.53 2.84 2.29  35.5 -0.393 19.63 21.52 02a58765o0879c
58765.629834  13.443  0.002 15235   38 c  0 356.83  90.26700 -18.96770  4459.49  3335.26 2.48 2.25  32.2 -0.398 19.65 21.48 02a58765o0904c
58768.510447  12.986  0.003 23202   60 o  0  17.66  90.26700 -18.96770  7101.42  1296.25 3.07 2.91 -79.0 -0.385 18.22 18.82 01a58768o0674o
58768.513949  12.988  0.003 23173   60 o  0  11.19  90.26700 -18.96770  7081.44  1257.58 2.92 2.73 -81.7 -0.379 18.33 18.88 01a58768o0681o
58768.519282  12.986  0.003 23216   65 o  0  12.64  90.26700 -18.96770  7137.66  1335.71 3.29 2.91  83.4 -0.362 18.20 18.85 01a58768o0692o
58768.529284  12.985  0.003 23231   61 o  0  26.52  90.26700 -18.96770  7157.42  1218.92 2.67 2.62 -55.9 -0.382 18.49 18.99 01a58768o0713o
58769.513006  12.950  0.003 23983   67 o  0  40.80  90.26700 -18.96770  4530.15  3256.85 2.88 2.25  34.3 -0.426 18.22 18.67 02a58769o0698o
58769.516278  12.956  0.003 23855   65 o  0  70.49  90.26700 -18.96770  4549.27  3295.50 2.95 2.24  35.6 -0.430 18.28 18.70 02a58769o0705o
58769.521925  12.945  0.003 24090   62 o  0  95.15  90.26700 -18.96770  4491.06  3217.40 2.87 2.14  30.1 -0.438 18.27 18.75 02a58769o0717o
58769.533088  12.938  0.002 24263   57 o  0 184.21  90.26700 -18.96770  4471.64  3333.17 2.43 1.99  30.9 -0.453 18.41 18.78 02a58769o0741o
58770.506781  12.961  0.002 23752   56 o  0  54.08  90.26700 -18.96770  3366.25  7322.34 2.20 1.96  14.2 -0.414 18.55 18.90 02a58770o0672o
58770.509573  12.965  0.002 23662   57 o  0  98.01  90.26700 -18.96770  3385.07  7361.01 2.23 1.90  27.1 -0.407 18.61 18.92 02a58770o0678o
58770.515088  12.966  0.002 23648   54 o  0 100.38  90.26700 -18.96770  3327.17  7283.33 2.22 1.94  23.9 -0.403 18.61 18.96 02a58770o0690o
58770.524972  12.969  0.002 23581   56 o  0  51.34  90.26700 -18.96770  3304.95  7400.00 2.22 1.91  28.8 -0.409 18.65 19.03 02a58770o0710o
58771.594334  12.975  0.002 23452   55 o  0  73.27  90.26700 -18.96770  7098.74  1297.41 2.55 2.14  -1.2 -0.404 18.69 19.12 01a58771o0845o
58771.598151  12.973  0.002 23483   55 o  0  58.15  90.26700 -18.96770  7083.82  1259.62 2.63 2.06  -4.3 -0.395 18.74 19.12 01a58771o0853o
58771.603849  12.974  0.002 23464   53 o  0 124.31  90.26700 -18.96770  7141.37  1337.49 2.33 2.13 -12.1 -0.398 18.77 19.11 01a58771o0865o
58771.617368  12.979  0.002 23351   54 o  0  93.44  90.26700 -18.96770  7159.48  1220.50 2.20 2.01 -28.9 -0.385 18.83 19.08 01a58771o0893o
58772.490180  12.968  0.002 23586   54 o  0 140.87  90.26700 -18.96770  7101.68  1298.57 2.13 2.04 -54.1 -0.399 18.81 19.00 01a58772o0609o
58772.493445  12.978  0.002 23382   51 o  0 135.42  90.26700 -18.96770  7082.21  1259.61 2.14 2.06 -66.9 -0.407 18.82 19.03 01a58772o0616o
58772.499997  12.977  0.002 23399   52 o  0 203.98  90.26700 -18.96770  7138.52  1336.33 2.13 2.07 -54.0 -0.392 18.80 19.07 01a58772o0630o
58772.510249  12.976  0.002 23430   52 o  0 116.13  90.26700 -18.96770  7159.14  1219.74 2.24 2.18 -50.5 -0.397 18.78 19.12 01a58772o0650o
58777.601643  12.953  0.002 23931   49 o  0 818.92  90.26700 -18.96770  7216.48  3235.12 2.05 1.90  45.3 -0.428 19.36 20.22 02a58777o0811o
58777.606904  12.940  0.002 24216   48 o  0 292.15  90.26700 -18.96770  3365.00  7362.64 1.94 1.86 -39.3 -0.439 19.40 20.20 02a58777o0822o
58777.610675  12.952  0.002 23948   50 o  0 338.55  90.26700 -18.96770  3306.78  7285.95 1.93 1.86 -39.5 -0.436 19.37 20.18 02a58777o0830o
58777.624022  12.949  0.002 24002   49 o  0 199.49  90.26700 -18.96770  7275.56  3158.60 2.04 1.95  66.8 -0.425 19.33 20.20 02a58777o0856o
58779.582119  12.988  0.002 23162   46 o  0 326.42  90.26700 -18.96770 10149.63  9039.40 2.79 2.12 -88.6 -0.376 19.42 20.72 01a58779o0847o
58779.585383  12.985  0.002 23224   46 o  0 469.01  90.26700 -18.96770 10132.24  9000.86 2.64 1.94 -89.9 -0.389 19.47 20.70 01a58779o0854o
58779.592304  12.986  0.002 23200   46 o  0 256.70  90.26700 -18.96770 10191.38  9078.25 2.80 2.12 -87.2 -0.381 19.42 20.62 01a58779o0868o
58779.602509  12.987  0.002 23189   46 o  0 264.05  90.26700 -18.96770 10211.06  8960.28 2.62 1.86 -89.8 -0.393 19.49 20.67 01a58779o0889o
58783.553529  12.989  0.002 23135   46 o  0 625.49  90.26700 -18.96770 10148.60  9042.68 2.54 1.84  89.6 -0.398 19.58 20.86 01a58783o0635o
58783.556751  12.988  0.002 23159   46 o  0 422.87  90.26700 -18.96770 10128.56  9003.62 2.54 1.88  89.8 -0.396 19.56 20.87 01a58783o0642o
58783.562738  12.986  0.002 23212   46 o  0 573.93  90.26700 -18.96770 10189.54  9081.74 2.55 1.83  89.7 -0.397 19.60 20.88 01a58783o0655o
58783.573817  12.978  0.002 23374   46 o  0 655.24  90.26700 -18.96770 10209.43  8963.99 2.54 1.81 -90.0 -0.400 19.59 20.88 01a58783o0679o
58787.552891  12.957  0.002 23824   53 o  0 587.85  90.26700 -18.96770  9616.39  5542.68 2.48 1.97 -89.4 -0.424 19.40 20.69 01a58787o0781o
58787.556585  12.957  0.002 23844   55 o  0 416.88  90.26700 -18.96770  9597.90  5504.89 2.51 2.08  89.1 -0.416 19.35 20.65 01a58787o0789o
58787.563469  12.936  0.002 24290   49 o  0 549.67  90.26700 -18.96770  9656.38  5580.39 2.53 2.00 -89.4 -0.415 19.72 21.07 01a58787o0803o
58787.576230  12.973  0.002 23493   47 o  0 594.75  90.26700 -18.96770  9675.03  5464.95 2.70 2.12  89.6 -0.406 19.54 20.95 01a58787o0829o
58789.538950  13.442  0.002 15246   37 c  0 216.97  90.26700 -18.96770  9144.76  7072.51 2.67 2.55  62.9 -0.394 19.70 21.56 02a58789o0665c
58789.542349  13.456  0.002 15051   37 c  0 169.73  90.26700 -18.96770  9160.57  7116.02 2.70 2.46  41.3 -0.390 19.71 21.56 02a58789o0672c
58789.548804  13.453  0.002 15089   37 c  0 302.91  90.26700 -18.96770  9106.33  7035.35 2.66 2.48  43.2 -0.392 19.68 21.55 02a58789o0685c
58789.559872  13.453  0.002 15090   37 c  0 301.45  90.26700 -18.96770  9078.57  7155.09 2.93 2.39  35.8 -0.377 19.62 21.53 02a58789o0707c
58790.465589  13.440  0.003 15273   38 c  0 198.84  90.26700 -18.96770  9158.97  7069.06 2.64 2.55 -79.3 -0.403 19.63 21.43 02a58790o0596c
58790.468896  13.435  0.003 15347   38 c  0 284.71  90.26700 -18.96770  9176.61  7109.35 2.67 2.50 -72.0 -0.402 19.68 21.44 02a58790o0603c
58790.474171  13.452  0.003 15110   38 c  0 128.05  90.26700 -18.96770  9111.84  7030.69 2.82 2.36  35.3 -0.384 19.62 21.48 02a58790o0614c
58790.484955  13.437  0.002 15321   38 c  0 207.86  90.26700 -18.96770  9092.76  7148.02 2.52 2.45  54.4 -0.399 19.75 21.49 02a58790o0637c
58791.547918  12.955  0.002 23882   51 o  0 414.07  90.26700 -18.96770  9616.95  5542.77 2.71 2.02  88.5 -0.422 19.41 20.63 01a58791o0639o
58791.551575  12.957  0.002 23831   47 o  0 983.26  90.26700 -18.96770  9595.72  5503.41 2.68 2.01  89.9 -0.421 19.55 20.72 01a58791o0646o
58791.557132  12.957  0.002 23840   49 o  0 386.34  90.26700 -18.96770  9655.00  5580.27 2.86 2.18  89.2 -0.415 19.42 20.68 01a58791o0658o
58791.571093  12.958  0.002 23818   48 o  0 482.26  90.26700 -18.96770  9675.32  5464.92 2.73 2.03  88.7 -0.422 19.49 20.67 01a58791o0688o
58795.513284  12.964  0.002 23680   48 o  0 284.00  90.26700 -18.96770  2168.63  7488.92 2.09 1.84 -86.7 -0.421 19.36 20.04 01a58795o0656o
58795.516964  12.961  0.002 23748   49 o  0 175.49  90.26700 -18.96770  2150.83  7450.14 2.16 1.92 -87.9 -0.417 19.30 20.05 01a58795o0664o
58795.523943  12.953  0.002 23915   47 o  0 242.40  90.26700 -18.96770  2209.61  7529.14 2.21 1.98 -83.4 -0.412 19.35 20.09 01a58795o0679o
58795.534281  12.966  0.002 23627   48 o  0 172.84  90.26700 -18.96770  2229.32  7413.62 2.56 2.34  84.6 -0.403 19.16 20.16 01a58795o0700o
58796.426566  12.982  0.002 23289   52 o  0  33.67  90.26700 -18.96770  2151.75  7476.27 2.78 2.46 -84.6 -0.380 18.78 19.51 01a58796o0478o
58796.429353  12.971  0.002 23535   54 o  0  16.48  90.26700 -18.96770  2133.28  7437.70 2.98 2.67 -83.9 -0.390 18.74 19.52 01a58796o0484o
58796.436337  12.990  0.002 23128   53 o  0   7.06  90.26700 -18.96770  2192.65  7516.81 3.62 3.21 -86.2 -0.341 18.59 19.60 01a58796o0499o
58796.446539  12.995  0.002 23006   50 o  0 148.97  90.26700 -18.96770  2217.83  7403.31 2.70 2.41 -85.2 -0.384 18.89 19.63 01a58796o0521o
58797.527258  12.956  0.002 23866   52 o  0 108.52  90.26700 -18.96770  6374.26  1224.55 1.97 1.85 -48.5 -0.447 19.00 19.48 02a58797o0728o
58797.530606  12.947  0.002 24059   52 o  0  91.31  90.26700 -18.96770  6391.01  1267.50 2.05 1.86  39.0 -0.435 18.97 19.50 02a58797o0735o
58797.536614  12.955  0.002 23870   52 o  0 132.42  90.26700 -18.96770  6331.14  1189.01 2.02 1.82  39.8 -0.437 19.00 19.51 02a58797o0748o
58797.547641  12.951  0.002 23965   53 o  0  48.56  90.26700 -18.96770  6310.21  1304.71 2.17 1.95  37.6 -0.425 18.91 19.51 02a58797o0771o
58798.538333  12.950  0.002 23978   53 o  0  37.48  90.26700 -18.96770  6377.90  1224.54 2.11 1.91 -50.3 -0.439 18.72 19.21 02a58798o0480o
58798.557764  12.970  0.002 23550   57 o  0  52.41  90.26700 -18.96770  4179.04  9292.71 2.44 2.24 -51.8 -0.416 18.65 19.18 02a58798o0520o
58798.581499  12.966  0.002 23647   57 o  0  69.64  90.26700 -18.96770  4236.42  9373.12 2.28 2.15 -50.0 -0.417 18.71 19.16 02a58798o0568o
58798.607741  12.974  0.002 23472   53 o  0 111.61  90.26700 -18.96770  4252.28  9257.67 2.39 2.09  42.6 -0.399 18.62 19.11 02a58798o0623o
58799.540480  12.977  0.002 23395   54 o  0  33.10  90.26700 -18.96770  2168.03  7495.09 2.51 1.98  86.6 -0.407 18.66 18.90 01a58799o0741o
58799.554625  12.981  0.002 23309   53 o  0  62.26  90.26700 -18.96770  8425.45  3096.82 2.33 2.13 -68.4 -0.395 18.67 18.87 01a58799o0771o
58799.564440  12.979  0.002 23349   52 o  0 135.69  90.26700 -18.96770  8368.74  3016.91 2.24 2.04 -60.3 -0.398 18.70 18.87 01a58799o0791o
58799.568580  12.971  0.002 23518   54 o  0 103.40  90.26700 -18.96770  8350.82  3132.42 2.43 2.06 -84.5 -0.421 18.64 18.86 01a58799o0799o
58800.476880  12.966  0.002 23630   56 o  0 108.25  90.26700 -18.96770  9516.59  3600.18 2.63 1.92 -89.5 -0.407 18.74 18.88 01a58800o0572o
58800.480099  12.977  0.002 23394   54 o  0 192.57  90.26700 -18.96770  9497.57  3562.30 2.62 1.86 -89.2 -0.413 18.77 18.90 01a58800o0579o
58800.487478  12.974  0.002 23467   54 o  0 283.98  90.26700 -18.96770  9555.29  3637.39 2.56 1.84 -88.3 -0.422 18.80 18.93 01a58800o0594o
58800.500578  12.968  0.002 23590   55 o  0 207.82  90.26700 -18.96770  9575.36  3520.94 2.55 1.85 -88.3 -0.416 18.81 18.98 01a58800o0620o
58801.526596  12.949  0.002 24011   51 o  0 163.17  90.26700 -18.96770  6378.49  1227.00 1.93 1.84  46.1 -0.451 18.74 19.06 02a58801o0740o
58801.531061  12.943  0.002 24146   54 o  0  65.38  90.26700 -18.96770  6391.70  1265.54 2.34 1.93  40.7 -0.419 18.65 19.07 02a58801o0749o
58801.536668  12.962  0.002 23717   56 o  0  81.08  90.26700 -18.96770  6331.47  1186.74 1.97 1.80  39.7 -0.453 18.75 19.09 02a58801o0761o
58801.553870  12.960  0.002 23769   56 o  0 137.00  90.26700 -18.96770  4256.48  9253.28 2.81 2.11  40.9 -0.380 18.57 19.08 02a58801o0797o
58803.545934  12.971  0.002 23526   50 o  0  97.19  90.26700 -18.96770  1086.68  6982.98 2.36 1.90  87.6 -0.423 19.08 19.53 01a58803o0338o
58803.551617  12.970  0.002 23547   50 o  0 123.35  90.26700 -18.96770  1095.45  7020.13 2.28 1.84  89.6 -0.418 19.10 19.54 01a58803o0349o
58803.554845  12.970  0.002 23542   50 o  0  99.97  90.26700 -18.96770  1046.04  6943.54 2.23 1.79  85.7 -0.433 19.14 19.53 01a58803o0356o
58803.569115  12.967  0.002 23620   51 o  0  90.96  90.26700 -18.96770  1029.29  7057.96 2.11 1.78 -88.0 -0.442 19.13 19.50 01a58803o0386o
58807.521381  12.958  0.002 23805   48 o  0 1030.25  90.26700 -18.96770  9525.41  3603.84 2.55 1.83 -88.7 -0.412 19.60 20.70 01a58807o0369o
58807.525067  12.967  0.002 23622   49 o  0 774.90  90.26700 -18.96770  9506.46  3565.96 2.51 1.87 -89.3 -0.413 19.56 20.65 01a58807o0377o
58807.531288  12.966  0.002 23637   47 o  0  87.40  90.26700 -18.96770  1043.01  6942.82 2.58 2.13  86.1 -0.401 19.47 20.68 01a58807o0390o
58807.544193  12.965  0.002 23649   47 o  0 203.20  90.26700 -18.96770  1021.17  7058.97 2.48 1.97  87.4 -0.407 19.54 20.66 01a58807o0417o
58811.547902  12.985  0.002 23224   46 o  0 641.14  90.26700 -18.96770  8323.47  1100.70 2.18 1.94 -86.5 -0.411 19.65 20.96 01a58811o0474o
58811.550722  12.969  0.002 23564   48 o  0 453.97  90.26700 -18.96770  8344.02  1139.63 2.11 1.86 -86.2 -0.424 19.69 20.94 01a58811o0480o
58811.556262  12.976  0.002 23428   46 o  0 536.98  90.26700 -18.96770  8285.58  1059.84 2.05 1.98 -65.1 -0.402 19.67 20.87 01a58811o0492o
58811.566964  12.965  0.002 23661   47 o  0 700.36  90.26700 -18.96770  8266.28  1176.30 2.15 1.86  85.6 -0.432 19.61 20.87 01a58811o0515o
58813.589434  13.437  0.002 15321   38 c  0 221.23  90.26700 -18.96770  7997.22  7212.92 2.65 2.41  47.7 -0.392 19.72 21.61 02a58813o0418c
58813.592685  13.437  0.002 15320   38 c  0 216.32  90.26700 -18.96770  7978.95  7175.87 2.66 2.50  50.8 -0.388 19.69 21.59 02a58813o0425c
58813.598203  13.454  0.002 15086   37 c  0 282.28  90.26700 -18.96770  8037.59  7252.30 2.73 2.51  50.1 -0.386 19.67 21.56 02a58813o0437c
58813.611071  13.448  0.003 15161   39 c  0 248.19  90.26700 -18.96770  8059.72  7137.80 2.68 2.48  47.2 -0.388 19.65 21.47 02a58813o0465c
58815.478606  12.990  0.002 23118   46 o  0  93.54  90.26700 -18.96770  2256.92  9439.15 3.13 2.61  -6.1 -0.346 19.47 21.45 01a58815o0651o
58815.482293  12.986  0.002 23204   46 o  0  78.25  90.26700 -18.96770  2239.07  9401.30 3.28 2.32  -3.1 -0.367 19.50 21.44 01a58815o0659o
58815.487816  12.990  0.002 23110   45 o  0 213.09  90.26700 -18.96770  2296.46  9479.67 2.88 2.57  -9.1 -0.358 19.53 21.45 01a58815o0670o
58815.505988  12.972  0.002 23502   45 o  0 361.14  90.26700 -18.96770  8250.47  1184.20 2.58 2.45 -53.4 -0.389 19.59 21.43 01a58815o0709o
58817.601111  14.820  0.092  4286  393 c  0   1.26  90.26700 -18.96770  8055.71  7132.86 3.05 2.72  41.1 -0.371 16.86 18.63 02a58817o0602c
58819.489719  12.967  0.005 23622  114 o  0  11.11  90.26700 -18.96770  5169.85  5288.75 2.18 2.00  85.3 -0.390 17.82 19.06 01a58819o0617o
58819.499808  -1.969  0.344 22262844707 7655293969 o  0   0.96  90.26700 -18.96770  5186.26  5324.33 2.25 1.95  88.2 -0.422 -2.59 -1.19 01a58819o0638o
58819.503029  12.972  0.006 23514  134 o  0  13.13  90.26700 -18.96770  5133.30  5247.44 2.08 1.84 -88.5 -0.406 17.67 18.92 01a58819o0645o
58821.503398  12.940  0.002 24210   49 o  0 580.56  90.26700 -18.96770  5181.26  1387.00 2.00 1.89 -63.0 -0.453 19.70 21.12 02a58821o0641o
58821.513451  12.941  0.002 24184   48 o  0 280.22  90.26700 -18.96770  5160.55  1346.97 1.98 1.86 -62.2 -0.449 19.73 21.15 02a58821o0662o
58821.516651  12.948  0.002 24033   48 o  0 580.36  90.26700 -18.96770  5216.44  1428.38 1.97 1.86 -70.8 -0.452 19.70 21.14 02a58821o0669o
58821.522033  12.944  0.002 24113   49 o  0 246.90  90.26700 -18.96770  5239.80  1312.62 2.04 1.93 -66.1 -0.445 19.69 21.18 02a58821o0680o
58822.424495  12.953  0.002 23917   52 o  0 582.13  90.26700 -18.96770  5433.41  9178.55 2.27 1.92 -55.0 -0.446 19.37 20.33 02a58822o0401o
58822.427756  12.942  0.002 24157   51 o  0 561.19  90.26700 -18.96770  5451.62  9216.53 2.30 1.99 -57.0 -0.439 19.34 20.30 02a58822o0408o
58822.433774  12.938  0.003 24260   71 o  0  91.04  90.26700 -18.96770  5392.82  9139.13 2.24 1.97 -53.7 -0.441 18.68 19.38 02a58822o0421o
58822.444892  12.949  0.002 24021   53 o  0 584.11  90.26700 -18.96770  5370.32  9255.83 2.14 1.98 -55.0 -0.442 19.31 20.30 02a58822o0445o
58824.388315  13.009  0.002 22718   47 o  0 137.94  90.26700 -18.96770  8147.00  9147.99 2.70 2.03 -87.5 -0.358 19.05 19.91 01a58824o0450o
58824.391570  13.001  0.002 22890   47 o  0 188.34  90.26700 -18.96770  8128.40  9109.06 2.68 2.01 -87.1 -0.364 19.05 19.92 01a58824o0457o
58824.399039  12.995  0.002 23014   47 o  0  89.83  90.26700 -18.96770  8189.06  9187.04 2.64 2.06 -89.3 -0.354 19.10 20.00 01a58824o0473o
58824.411621  13.003  0.002 22848   47 o  0  86.82  90.26700 -18.96770  8210.55  9068.80 2.74 2.15 -89.8 -0.355 19.12 20.06 01a58824o0499o
58825.464065  12.971  0.002 23539   51 o  0 209.61  90.26700 -18.96770  5410.27  9179.07 2.18 1.99  39.5 -0.424 19.19 19.99 02a58825o0601o
58825.467292  12.952  0.002 23945   52 o  0 265.44  90.26700 -18.96770  5427.97  9218.00 2.19 1.97  38.8 -0.427 19.19 20.00 02a58825o0608o
58825.473786  12.944  0.002 24117   51 o  0 190.43  90.26700 -18.96770  5369.60  9140.29 2.13 2.08  74.0 -0.435 19.19 20.03 02a58825o0622o
58825.490825  12.965  0.002 23655   50 o  0 434.06  90.26700 -18.96770  5238.04  1308.97 2.13 1.97  50.3 -0.436 19.19 20.05 02a58825o0658o
58826.392602  12.951  0.002 23960   52 o  0 457.54  90.26700 -18.96770  7129.22  5212.86 2.49 1.85  35.7 -0.428 18.92 19.51 02a58826o0440o
58826.396783  12.963  0.002 23704   52 o  0 384.79  90.26700 -18.96770  7142.33  5252.18 2.44 1.81  34.9 -0.420 18.94 19.53 02a58826o0448o
58826.403538  12.954  0.002 23904   52 o  0 245.43  90.26700 -18.96770  7084.07  5174.20 2.36 1.87  33.8 -0.427 18.93 19.55 02a58826o0462o
