2457298.559388	12.939	0.003
2457321.532685	12.941	0.004
2457329.584142	12.942	0.003
2457352.535193	12.961	0.004
2457353.483968	12.94	0.007
2457353.497597	12.965	0.012
2457353.50099	12.964	0.03
2457353.50528	13.024	0.094
2457358.482721	12.946	0.003
2457380.41217	12.956	0.005
2457380.433681	12.948	0.003
2457380.437416	12.938	0.004
2457380.464764	12.959	0.003
2457389.347953	12.955	0.003
2457406.361773	12.95	0.003
2457407.400818	12.947	0.003
2457410.335988	12.948	0.005
2457410.355804	12.952	0.005
2457410.373618	12.954	0.003
2457410.401699	12.95	0.004
2457411.337169	12.948	0.005
2457411.358957	12.955	0.003
2457411.374762	12.953	0.003
2457411.376606	12.944	0.003
2457412.336644	12.955	0.003
2457412.358093	12.943	0.003
2457412.37393	12.955	0.003
2457412.375787	12.939	0.003
2457438.301731	12.942	0.003
2457438.320134	12.944	0.003
2457438.336134	12.937	0.003
2457438.351523	12.929	0.003
2457439.301721	12.921	0.003
2457439.317972	12.897	0.003
2457439.333738	12.911	0.004
2457465.237953	12.915	0.003
2457465.269115	12.912	0.004
2457469.243265	12.931	0.004
2457477.227977	12.936	0.004
2457671.653972	12.268	0.033
2457675.615878	12.949	0.003
2457675.644774	12.947	0.003
2457707.534515	12.963	0.003
2457707.5546	12.957	0.003
2457707.567959	12.965	0.003
2457707.580819	12.972	0.003
2457707.594773	12.966	0.003
2457711.528868	12.969	0.004
2457711.541765	12.959	0.003
2457711.55569	12.961	0.002
2457711.569635	12.967	0.003
2457711.57943	12.962	0.002
2457735.459352	12.953	0.003
2457735.472226	12.954	0.003
2457735.485562	12.962	0.003
2457735.502576	12.961	0.003
2457735.513338	12.962	0.003
2457743.542506	12.949	0.002
2457743.556448	12.947	0.002
2457763.395604	12.96	0.003
2457763.40841	12.954	0.003
2457763.421189	12.959	0.003
2457763.434125	12.957	0.003
2457763.446857	12.956	0.003
2457767.401599	12.947	0.003
2457767.417196	12.942	0.003
2457767.43294	12.941	0.003
2457771.445204	12.963	0.003
2457795.411266	12.983	0.01
2457806.255203	12.948	0.003
2457806.273139	12.976	0.006
2457806.285455	12.973	0.005
2457806.300801	12.962	0.007
2457808.267631	12.928	0.053
2457808.282418	12.951	0.003
2457808.2978	12.957	0.003
2457810.286636	12.993	0.03
2457816.266869	12.954	0.003
2457818.223163	12.972	0.004
2457818.231091	12.944	0.004
2457818.244153	12.954	0.004
2457818.259733	12.964	0.004
2457819.345909	12.974	0.003
2457820.220245	12.958	0.05
2457823.297533	12.956	0.003
2457823.310386	12.952	0.003
2457823.323764	12.959	0.003
2457823.337676	12.962	0.003
2457826.351136	12.959	0.005
2457826.360387	12.96	0.004
2457826.372558	12.952	0.004
2457827.27634	12.963	0.003
2457827.314988	12.946	0.003
2457831.310441	12.949	0.003
2457851.274728	12.95	0.003
2457855.263496	12.952	0.003
2457855.280287	12.947	0.004
2457855.295561	13.095	0.044
2457859.227901	12.968	0.007
2457859.231776	12.957	0.004
2457859.238588	12.937	0.003
2457865.22607	12.882	0.081
2457865.23041	13.034	0.057
2457865.239203	12.958	0.004
2458002.561365	13.002	0.004
2458004.571812	12.977	0.003
2458004.578718	12.967	0.003
2458004.579175	12.983	0.003
2458004.585617	12.977	0.003
2458004.586076	12.954	0.003
2458004.592503	12.962	0.003
2458004.59296	13.024	0.003
2458004.599883	13.037	0.003
2458011.644834	13.076	0.019
2458015.616905	12.979	0.002
2458015.624752	12.946	0.002
2458015.640379	12.947	0.003
2458019.622994	12.934	0.003
2458019.640397	12.945	0.002
2458019.64177	12.947	0.003
2458031.554391	12.957	0.003
2458031.562357	12.949	0.003
2458031.57023	12.956	0.003
2458031.57807	12.954	0.003
2458039.57792	12.96	0.002
2458039.579758	12.952	0.002
2458043.569908	12.948	0.003
2458043.572661	12.959	0.003
2458043.580448	12.957	0.003
2458043.582737	12.949	0.003
2458053.498907	12.96	0.049
2458059.526032	12.954	0.002
2458059.541633	12.941	0.002
2458059.549914	12.952	0.002
2458063.514913	12.953	0.003
2458063.530029	12.964	0.003
2458063.538735	12.963	0.003
2458063.541483	12.948	0.003
2458075.511851	12.954	0.002
2458075.521911	12.952	0.002
2458075.522827	12.953	0.002
2458091.445824	12.959	0.004
2458091.44674	12.963	0.004
2458091.454984	12.951	0.004
2458091.470107	12.959	0.004
2458095.463267	12.941	0.002
2458099.454543	12.955	0.003
2458099.462828	12.938	0.002
2458099.464201	12.941	0.002
2458099.465117	12.947	0.002
2458099.468321	12.949	0.002
2458115.415075	12.956	0.002
2458115.41599	12.952	0.003
2458115.424244	12.963	0.002
2458115.430197	12.952	0.002
2458115.432028	12.97	0.002
2458115.434318	12.95	0.002
2458115.43707	12.954	0.002
2458115.445787	12.937	0.002
2458117.430656	12.974	0.006
2458119.400697	12.951	0.003
2458119.415825	12.952	0.003
2458119.417659	12.959	0.003
2458119.423616	12.962	0.003
2458127.41622	12.953	0.002
2458127.429497	12.966	0.002
2458129.420248	12.95	0.019
2458131.398141	12.973	0.003
2458131.400888	12.956	0.003
2458135.399822	12.957	0.002
2458135.425136	12.953	0.002
2458143.372723	13.025	0.085
2458143.389783	13.031	0.081
2458143.39207	12.93	0.032
2458143.39809	12.991	0.026
2458143.400868	12.944	0.005
2458143.409171	12.952	0.005
2458147.396187	12.957	0.002
2458147.405022	12.952	0.002
2458151.377397	12.942	0.002
2458159.364559	12.949	0.002
2458159.372876	12.922	0.009
2458203.255079	12.948	0.003
2458203.262524	12.944	0.012
2458203.269895	12.97	0.011
2458207.265098	12.961	0.003
